Dia;Producto;Latitud;Longitud;PVP;VentasN;Nombre;Day;Month;Year;Weekday;Fiesta
23/02/2016;GOA;43,31748953;-8,47923782;0,984;0,552172142;ES4;23;febrero;2016;Martes;
24/02/2016;95;43,31748953;-8,47923782;1,099;0,12356025;ES4;24;febrero;2016;Miercoles;
24/02/2016;GOA;43,31748953;-8,47923782;0,994;0,455096552;ES4;24;febrero;2016;Miercoles;
25/02/2016;95;43,31748953;-8,47923782;1,089;0,112824009;ES4;25;febrero;2016;Jueves;
25/02/2016;GOA;43,31748953;-8,47923782;0,984;0,538809906;ES4;25;febrero;2016;Jueves;
26/02/2016;95;43,31748953;-8,47923782;1,099;0,173539133;ES4;26;febrero;2016;Viernes;
26/02/2016;GOA;43,31748953;-8,47923782;0,984;0,499246254;ES4;26;febrero;2016;Viernes;
27/02/2016;95;43,31748953;-8,47923782;1,099;0,183613211;ES4;27;febrero;2016;Sabado;
27/02/2016;GOA;43,31748953;-8,47923782;0,984;0,537348991;ES4;27;febrero;2016;Sabado;
28/02/2016;95;43,31748953;-8,47923782;1,099;0,142875666;ES4;28;febrero;2016;Domingo;
28/02/2016;GOA;43,31748953;-8,47923782;0,984;0,359986052;ES4;28;febrero;2016;Domingo;
29/02/2016;95;43,31748953;-8,47923782;1,099;0,143814151;ES4;29;febrero;2016;Lunes;
29/02/2016;GOA;43,31748953;-8,47923782;0,984;0,557217679;ES4;29;febrero;2016;Lunes;
01/03/2016;95;43,31748953;-8,47923782;1,119;0,148366212;ES4;1;marzo;2016;Martes;
01/03/2016;GOA;43,31748953;-8,47923782;1,004;0,571128781;ES4;1;marzo;2016;Martes;
02/03/2016;95;43,31748953;-8,47923782;1,124;0,150348926;ES4;2;marzo;2016;Miercoles;
02/03/2016;GOA;43,31748953;-8,47923782;1,004;0,591095661;ES4;2;marzo;2016;Miercoles;
03/03/2016;95;43,31748953;-8,47923782;1,124;0,147911761;ES4;3;marzo;2016;Jueves;
03/03/2016;GOA;43,31748953;-8,47923782;1,004;0,492671824;ES4;3;marzo;2016;Jueves;
04/03/2016;95;43,31748953;-8,47923782;1,124;0,160147942;ES4;4;marzo;2016;Viernes;
04/03/2016;GOA;43,31748953;-8,47923782;1,024;0,610436254;ES4;4;marzo;2016;Viernes;
05/03/2016;95;43,31748953;-8,47923782;1,124;0,206311201;ES4;5;marzo;2016;Sabado;
05/03/2016;GOA;43,31748953;-8,47923782;1,014;0,521742196;ES4;5;marzo;2016;Sabado;
06/03/2016;95;43,31748953;-8,47923782;1,124;0,140687127;ES4;6;marzo;2016;Domingo;
06/03/2016;GOA;43,31748953;-8,47923782;1,014;0,389339668;ES4;6;marzo;2016;Domingo;
07/03/2016;95;43,31748953;-8,47923782;1,124;0,154170845;ES4;7;marzo;2016;Lunes;
07/03/2016;GOA;43,31748953;-8,47923782;1,014;0,489720412;ES4;7;marzo;2016;Lunes;
08/03/2016;95;43,31748953;-8,47923782;1,134;0,093406625;ES4;8;marzo;2016;Martes;
08/03/2016;GOA;43,31748953;-8,47923782;1,014;0,584276382;ES4;8;marzo;2016;Martes;
09/03/2016;95;43,31748953;-8,47923782;1,154;0,136094153;ES4;9;marzo;2016;Miercoles;
09/03/2016;GOA;43,31748953;-8,47923782;1,034;0,54533398;ES4;9;marzo;2016;Miercoles;
10/03/2016;95;43,31748953;-8,47923782;1,154;0,130575912;ES4;10;marzo;2016;Jueves;
10/03/2016;GOA;43,31748953;-8,47923782;1,034;0,484153705;ES4;10;marzo;2016;Jueves;
11/03/2016;95;43,31748953;-8,47923782;1,164;0,163230276;ES4;11;marzo;2016;Viernes;
11/03/2016;GOA;43,31748953;-8,47923782;1,044;0,567539753;ES4;11;marzo;2016;Viernes;
12/03/2016;95;43,31748953;-8,47923782;1,164;0,220219785;ES4;12;marzo;2016;Sabado;
12/03/2016;GOA;43,31748953;-8,47923782;1,044;0,58252404;ES4;12;marzo;2016;Sabado;
13/03/2016;95;43,31748953;-8,47923782;1,164;0,162181641;ES4;13;marzo;2016;Domingo;
